"mouse" "cell_type1"
"mouse2_lib3.final_cell_0081" 2 "delta"
"mouse2_lib3.final_cell_0082" 2 "alpha"
"mouse2_lib3.final_cell_0083" 2 "beta"
"mouse2_lib3.final_cell_0084" 2 "beta"
"mouse2_lib3.final_cell_0085" 2 "beta"
"mouse2_lib3.final_cell_0086" 2 "alpha"
"mouse2_lib3.final_cell_0087" 2 "alpha"
"mouse2_lib3.final_cell_0088" 2 "beta"
"mouse2_lib3.final_cell_0089" 2 "beta"
"mouse2_lib3.final_cell_0090" 2 "beta"
"mouse2_lib3.final_cell_0091" 2 "alpha"
"mouse2_lib3.final_cell_0092" 2 "beta"
"mouse2_lib3.final_cell_0093" 2 "alpha"
"mouse2_lib3.final_cell_0094" 2 "alpha"
"mouse2_lib3.final_cell_0095" 2 "alpha"
"mouse2_lib3.final_cell_0096" 2 "beta"
"mouse2_lib3.final_cell_0097" 2 "delta"
"mouse2_lib3.final_cell_0098" 2 "beta"
"mouse2_lib3.final_cell_0099" 2 "beta"
"mouse2_lib3.final_cell_0100" 2 "alpha"
"mouse2_lib3.final_cell_0101" 2 "beta"
"mouse2_lib3.final_cell_0102" 2 "beta"
"mouse2_lib3.final_cell_0103" 2 "beta"
"mouse2_lib3.final_cell_0104" 2 "beta"
"mouse2_lib3.final_cell_0105" 2 "delta"
"mouse2_lib3.final_cell_0106" 2 "alpha"
"mouse2_lib3.final_cell_0107" 2 "beta"
"mouse2_lib3.final_cell_0108" 2 "alpha"
"mouse2_lib3.final_cell_0109" 2 "alpha"
"mouse2_lib3.final_cell_0110" 2 "beta"
"mouse2_lib3.final_cell_0111" 2 "beta"
"mouse2_lib3.final_cell_0112" 2 "alpha"
"mouse2_lib3.final_cell_0113" 2 "beta"
"mouse2_lib3.final_cell_0114" 2 "beta"
"mouse2_lib3.final_cell_0115" 2 "alpha"
"mouse2_lib3.final_cell_0116" 2 "delta"
"mouse2_lib3.final_cell_0117" 2 "beta"
"mouse2_lib3.final_cell_0118" 2 "alpha"
"mouse2_lib3.final_cell_0119" 2 "beta"
"mouse2_lib3.final_cell_0120" 2 "beta"
"mouse2_lib3.final_cell_0121" 2 "beta"
"mouse2_lib3.final_cell_0122" 2 "beta"
"mouse2_lib3.final_cell_0123" 2 "beta"
"mouse2_lib3.final_cell_0124" 2 "beta"
"mouse2_lib3.final_cell_0125" 2 "delta"
"mouse2_lib3.final_cell_0126" 2 "delta"
"mouse2_lib3.final_cell_0127" 2 "beta"
"mouse2_lib3.final_cell_0128" 2 "beta"
"mouse2_lib3.final_cell_0129" 2 "beta"
"mouse2_lib3.final_cell_0130" 2 "alpha"
"mouse2_lib3.final_cell_0131" 2 "ductal"
"mouse2_lib3.final_cell_0132" 2 "beta"
"mouse2_lib3.final_cell_0133" 2 "beta"
"mouse2_lib3.final_cell_0134" 2 "beta"
"mouse2_lib3.final_cell_0135" 2 "beta"
"mouse2_lib3.final_cell_0136" 2 "beta"
"mouse2_lib3.final_cell_0137" 2 "beta"
"mouse2_lib3.final_cell_0138" 2 "beta"
"mouse2_lib3.final_cell_0139" 2 "beta"
"mouse2_lib3.final_cell_0140" 2 "delta"
"mouse2_lib3.final_cell_0141" 2 "beta"
"mouse2_lib3.final_cell_0142" 2 "alpha"
"mouse2_lib3.final_cell_0143" 2 "beta"
"mouse2_lib3.final_cell_0144" 2 "delta"
"mouse2_lib3.final_cell_0145" 2 "alpha"
"mouse2_lib3.final_cell_0146" 2 "B_cell"
"mouse2_lib3.final_cell_0147" 2 "beta"
"mouse2_lib3.final_cell_0148" 2 "alpha"
"mouse2_lib3.final_cell_0149" 2 "delta"
"mouse2_lib3.final_cell_0150" 2 "beta"
"mouse2_lib3.final_cell_0151" 2 "alpha"
"mouse2_lib3.final_cell_0152" 2 "delta"
"mouse2_lib3.final_cell_0153" 2 "alpha"
"mouse2_lib3.final_cell_0154" 2 "beta"
"mouse2_lib3.final_cell_0155" 2 "alpha"
"mouse2_lib3.final_cell_0156" 2 "beta"
"mouse2_lib3.final_cell_0157" 2 "alpha"
"mouse2_lib3.final_cell_0158" 2 "alpha"
"mouse2_lib3.final_cell_0159" 2 "beta"
"mouse2_lib3.final_cell_0160" 2 "alpha"
"mouse2_lib3.final_cell_0161" 2 "beta"
"mouse2_lib3.final_cell_0162" 2 "beta"
"mouse2_lib3.final_cell_0163" 2 "alpha"
"mouse2_lib3.final_cell_0164" 2 "beta"
"mouse2_lib3.final_cell_0165" 2 "macrophage"
"mouse2_lib3.final_cell_0166" 2 "beta"
"mouse2_lib3.final_cell_0167" 2 "beta"
"mouse2_lib3.final_cell_0168" 2 "alpha"
"mouse2_lib3.final_cell_0169" 2 "beta"
"mouse2_lib3.final_cell_0170" 2 "beta"
"mouse2_lib3.final_cell_0171" 2 "ductal"
"mouse2_lib3.final_cell_0172" 2 "gamma"
"mouse2_lib3.final_cell_0173" 2 "beta"
"mouse2_lib3.final_cell_0174" 2 "alpha"
"mouse2_lib3.final_cell_0175" 2 "beta"
"mouse2_lib3.final_cell_0176" 2 "beta"
"mouse2_lib3.final_cell_0177" 2 "beta"
"mouse2_lib3.final_cell_0178" 2 "delta"
"mouse2_lib3.final_cell_0179" 2 "beta"
"mouse2_lib3.final_cell_0180" 2 "gamma"
"mouse2_lib3.final_cell_0181" 2 "endothelial"
"mouse2_lib3.final_cell_0182" 2 "alpha"
"mouse2_lib3.final_cell_0183" 2 "alpha"
"mouse2_lib3.final_cell_0184" 2 "alpha"
"mouse2_lib3.final_cell_0185" 2 "alpha"
"mouse2_lib3.final_cell_0186" 2 "beta"
"mouse2_lib3.final_cell_0187" 2 "beta"
"mouse2_lib3.final_cell_0188" 2 "alpha"
"mouse2_lib3.final_cell_0189" 2 "beta"
"mouse2_lib3.final_cell_0190" 2 "beta"
"mouse2_lib3.final_cell_0191" 2 "beta"
"mouse2_lib3.final_cell_0192" 2 "endothelial"
"mouse2_lib3.final_cell_0193" 2 "alpha"
"mouse2_lib3.final_cell_0194" 2 "gamma"
"mouse2_lib3.final_cell_0195" 2 "beta"
"mouse2_lib3.final_cell_0196" 2 "beta"
"mouse2_lib3.final_cell_0197" 2 "alpha"
"mouse2_lib3.final_cell_0198" 2 "delta"
"mouse2_lib3.final_cell_0199" 2 "ductal"
"mouse2_lib3.final_cell_0200" 2 "beta"
"mouse2_lib3.final_cell_0201" 2 "beta"
"mouse2_lib3.final_cell_0202" 2 "beta"
"mouse2_lib3.final_cell_0203" 2 "alpha"
"mouse2_lib3.final_cell_0204" 2 "ductal"
"mouse2_lib3.final_cell_0205" 2 "alpha"
"mouse2_lib3.final_cell_0206" 2 "endothelial"
"mouse2_lib3.final_cell_0207" 2 "alpha"
"mouse2_lib3.final_cell_0208" 2 "beta"
"mouse2_lib3.final_cell_0209" 2 "alpha"
"mouse2_lib3.final_cell_0210" 2 "alpha"
"mouse2_lib3.final_cell_0211" 2 "activated_stellate"
"mouse2_lib3.final_cell_0212" 2 "delta"
"mouse2_lib3.final_cell_0213" 2 "delta"
"mouse2_lib3.final_cell_0214" 2 "ductal"
"mouse2_lib3.final_cell_0215" 2 "beta"
"mouse2_lib3.final_cell_0216" 2 "beta"
"mouse2_lib3.final_cell_0217" 2 "beta"
"mouse2_lib3.final_cell_0218" 2 "alpha"
"mouse2_lib3.final_cell_0219" 2 "beta"
"mouse2_lib3.final_cell_0220" 2 "gamma"
"mouse2_lib3.final_cell_0221" 2 "beta"
"mouse2_lib3.final_cell_0222" 2 "beta"
"mouse2_lib3.final_cell_0223" 2 "beta"
"mouse2_lib3.final_cell_0224" 2 "endothelial"
"mouse2_lib3.final_cell_0225" 2 "ductal"
"mouse2_lib3.final_cell_0226" 2 "beta"
"mouse2_lib3.final_cell_0227" 2 "alpha"
"mouse2_lib3.final_cell_0228" 2 "endothelial"
"mouse2_lib3.final_cell_0229" 2 "beta"
"mouse2_lib3.final_cell_0230" 2 "beta"
"mouse2_lib3.final_cell_0231" 2 "beta"
"mouse2_lib3.final_cell_0232" 2 "macrophage"
"mouse2_lib3.final_cell_0233" 2 "macrophage"
"mouse2_lib3.final_cell_0234" 2 "beta"
"mouse2_lib3.final_cell_0235" 2 "beta"
"mouse2_lib3.final_cell_0236" 2 "alpha"
"mouse2_lib3.final_cell_0237" 2 "quiescent_stellate"
"mouse2_lib3.final_cell_0238" 2 "alpha"
"mouse2_lib3.final_cell_0239" 2 "beta"
"mouse2_lib3.final_cell_0240" 2 "endothelial"
"mouse2_lib3.final_cell_0241" 2 "alpha"
"mouse2_lib3.final_cell_0242" 2 "endothelial"
"mouse2_lib3.final_cell_0243" 2 "beta"
"mouse2_lib3.final_cell_0244" 2 "beta"
"mouse2_lib3.final_cell_0245" 2 "beta"
"mouse2_lib3.final_cell_0246" 2 "beta"
"mouse2_lib3.final_cell_0247" 2 "beta"
"mouse2_lib3.final_cell_0248" 2 "beta"
"mouse2_lib3.final_cell_0249" 2 "alpha"
"mouse2_lib3.final_cell_0250" 2 "alpha"
"mouse2_lib3.final_cell_0251" 2 "endothelial"
"mouse2_lib3.final_cell_0252" 2 "beta"
"mouse2_lib3.final_cell_0253" 2 "endothelial"
"mouse2_lib3.final_cell_0254" 2 "beta"
"mouse2_lib3.final_cell_0255" 2 "delta"
"mouse2_lib3.final_cell_0256" 2 "beta"
"mouse2_lib3.final_cell_0257" 2 "beta"
"mouse2_lib3.final_cell_0258" 2 "beta"
"mouse2_lib3.final_cell_0259" 2 "endothelial"
"mouse2_lib3.final_cell_0260" 2 "beta"
"mouse2_lib3.final_cell_0261" 2 "beta"
"mouse2_lib3.final_cell_0262" 2 "endothelial"
"mouse2_lib3.final_cell_0263" 2 "beta"
"mouse2_lib3.final_cell_0264" 2 "endothelial"
"mouse2_lib3.final_cell_0265" 2 "beta"
"mouse2_lib3.final_cell_0266" 2 "beta"
"mouse2_lib3.final_cell_0267" 2 "beta"
"mouse2_lib3.final_cell_0268" 2 "beta"
"mouse2_lib3.final_cell_0269" 2 "gamma"
"mouse2_lib3.final_cell_0270" 2 "beta"
"mouse2_lib3.final_cell_0271" 2 "beta"
"mouse2_lib3.final_cell_0272" 2 "alpha"
"mouse2_lib3.final_cell_0273" 2 "ductal"
"mouse2_lib3.final_cell_0274" 2 "activated_stellate"
"mouse2_lib3.final_cell_0275" 2 "beta"
"mouse2_lib3.final_cell_0276" 2 "beta"
"mouse2_lib3.final_cell_0277" 2 "delta"
"mouse2_lib3.final_cell_0278" 2 "delta"
"mouse2_lib3.final_cell_0279" 2 "alpha"
"mouse2_lib3.final_cell_0280" 2 "beta"
"mouse2_lib3.final_cell_0281" 2 "delta"
"mouse2_lib3.final_cell_0282" 2 "beta"
"mouse2_lib3.final_cell_0283" 2 "alpha"
"mouse2_lib3.final_cell_0284" 2 "endothelial"
"mouse2_lib3.final_cell_0285" 2 "beta"
"mouse2_lib3.final_cell_0286" 2 "beta"
"mouse2_lib3.final_cell_0287" 2 "beta"
"mouse2_lib3.final_cell_0288" 2 "beta"
"mouse2_lib3.final_cell_0289" 2 "endothelial"
"mouse2_lib3.final_cell_0290" 2 "alpha"
"mouse2_lib3.final_cell_0291" 2 "beta"
"mouse2_lib3.final_cell_0292" 2 "endothelial"
"mouse2_lib3.final_cell_0293" 2 "alpha"
"mouse2_lib3.final_cell_0294" 2 "beta"
"mouse2_lib3.final_cell_0295" 2 "alpha"
"mouse2_lib3.final_cell_0296" 2 "endothelial"
"mouse2_lib3.final_cell_0297" 2 "endothelial"
"mouse2_lib3.final_cell_0298" 2 "beta"
"mouse2_lib3.final_cell_0299" 2 "beta"
"mouse2_lib3.final_cell_0300" 2 "beta"
"mouse2_lib3.final_cell_0301" 2 "beta"
"mouse2_lib3.final_cell_0302" 2 "beta"
"mouse2_lib3.final_cell_0303" 2 "beta"
"mouse2_lib3.final_cell_0304" 2 "beta"
"mouse2_lib3.final_cell_0305" 2 "endothelial"
"mouse2_lib3.final_cell_0306" 2 "delta"
"mouse2_lib3.final_cell_0307" 2 "quiescent_stellate"
"mouse2_lib3.final_cell_0308" 2 "endothelial"
"mouse2_lib3.final_cell_0309" 2 "beta"
"mouse2_lib3.final_cell_0310" 2 "macrophage"
"mouse2_lib3.final_cell_0311" 2 "beta"
"mouse2_lib3.final_cell_0312" 2 "beta"
"mouse2_lib3.final_cell_0313" 2 "beta"
"mouse2_lib3.final_cell_0314" 2 "endothelial"
"mouse2_lib3.final_cell_0315" 2 "quiescent_stellate"
"mouse2_lib3.final_cell_0316" 2 "endothelial"
"mouse2_lib3.final_cell_0317" 2 "endothelial"
"mouse2_lib3.final_cell_0318" 2 "delta"
"mouse2_lib3.final_cell_0319" 2 "beta"
"mouse2_lib3.final_cell_0320" 2 "immune_other"
"mouse2_lib3.final_cell_0321" 2 "beta"
"mouse2_lib3.final_cell_0322" 2 "delta"
"mouse2_lib3.final_cell_0323" 2 "beta"
"mouse2_lib3.final_cell_0324" 2 "gamma"
"mouse2_lib3.final_cell_0325" 2 "endothelial"
"mouse2_lib3.final_cell_0326" 2 "beta"
"mouse2_lib3.final_cell_0327" 2 "beta"
"mouse2_lib3.final_cell_0328" 2 "alpha"
"mouse2_lib3.final_cell_0329" 2 "macrophage"
"mouse2_lib3.final_cell_0330" 2 "alpha"
"mouse2_lib3.final_cell_0331" 2 "ductal"
"mouse2_lib3.final_cell_0332" 2 "beta"
"mouse2_lib3.final_cell_0333" 2 "beta"
"mouse2_lib3.final_cell_0334" 2 "beta"
"mouse2_lib3.final_cell_0335" 2 "beta"
"mouse2_lib3.final_cell_0336" 2 "ductal"
"mouse2_lib3.final_cell_0337" 2 "beta"
"mouse2_lib3.final_cell_0338" 2 "endothelial"
"mouse2_lib3.final_cell_0339" 2 "alpha"
"mouse2_lib3.final_cell_0340" 2 "endothelial"
"mouse2_lib3.final_cell_0341" 2 "delta"
"mouse2_lib3.final_cell_0342" 2 "beta"
"mouse2_lib3.final_cell_0343" 2 "beta"
"mouse2_lib3.final_cell_0344" 2 "beta"
"mouse2_lib3.final_cell_0345" 2 "alpha"
"mouse2_lib3.final_cell_0346" 2 "beta"
"mouse2_lib3.final_cell_0347" 2 "quiescent_stellate"
"mouse2_lib3.final_cell_0348" 2 "beta"
"mouse2_lib3.final_cell_0349" 2 "alpha"
"mouse2_lib3.final_cell_0350" 2 "delta"
"mouse2_lib3.final_cell_0351" 2 "beta"
"mouse2_lib3.final_cell_0352" 2 "beta"
"mouse2_lib3.final_cell_0353" 2 "endothelial"
"mouse2_lib3.final_cell_0354" 2 "endothelial"
"mouse2_lib3.final_cell_0355" 2 "delta"
"mouse2_lib3.final_cell_0356" 2 "beta"
"mouse2_lib3.final_cell_0357" 2 "beta"
"mouse2_lib3.final_cell_0358" 2 "ductal"
"mouse2_lib3.final_cell_0359" 2 "quiescent_stellate"
"mouse2_lib3.final_cell_0360" 2 "ductal"
"mouse2_lib3.final_cell_0361" 2 "beta"
"mouse2_lib3.final_cell_0362" 2 "beta"
"mouse2_lib3.final_cell_0363" 2 "beta"
"mouse2_lib3.final_cell_0364" 2 "beta"
"mouse2_lib3.final_cell_0365" 2 "beta"
"mouse2_lib3.final_cell_0366" 2 "endothelial"
"mouse2_lib3.final_cell_0367" 2 "beta"
"mouse2_lib3.final_cell_0368" 2 "T_cell"
"mouse2_lib3.final_cell_0369" 2 "endothelial"
"mouse2_lib3.final_cell_0370" 2 "beta"
"mouse2_lib3.final_cell_0371" 2 "B_cell"
"mouse2_lib3.final_cell_0372" 2 "endothelial"
"mouse2_lib3.final_cell_0373" 2 "quiescent_stellate"
"mouse2_lib3.final_cell_0374" 2 "beta"
"mouse2_lib3.final_cell_0375" 2 "beta"
"mouse2_lib3.final_cell_0376" 2 "beta"
"mouse2_lib3.final_cell_0377" 2 "beta"
"mouse2_lib3.final_cell_0378" 2 "delta"
"mouse2_lib3.final_cell_0379" 2 "ductal"
"mouse2_lib3.final_cell_0380" 2 "ductal"
"mouse2_lib3.final_cell_0381" 2 "beta"
"mouse2_lib3.final_cell_0382" 2 "beta"
"mouse2_lib3.final_cell_0383" 2 "immune_other"
"mouse2_lib3.final_cell_0384" 2 "beta"
"mouse2_lib3.final_cell_0385" 2 "beta"
"mouse2_lib3.final_cell_0386" 2 "delta"
"mouse2_lib3.final_cell_0387" 2 "delta"
"mouse2_lib3.final_cell_0388" 2 "delta"
"mouse2_lib3.final_cell_0389" 2 "endothelial"
"mouse2_lib3.final_cell_0390" 2 "ductal"
"mouse2_lib3.final_cell_0391" 2 "beta"
"mouse2_lib3.final_cell_0392" 2 "beta"
"mouse2_lib3.final_cell_0393" 2 "ductal"
"mouse2_lib3.final_cell_0394" 2 "quiescent_stellate"
"mouse2_lib3.final_cell_0395" 2 "ductal"
