"human" "cell_type1"
"human3_lib4.final_cell_0657" 3 "beta"
"human3_lib4.final_cell_0658" 3 "alpha"
"human3_lib4.final_cell_0659" 3 "alpha"
"human3_lib4.final_cell_0660" 3 "alpha"
"human3_lib4.final_cell_0661" 3 "alpha"
"human3_lib4.final_cell_0662" 3 "acinar"
"human3_lib4.final_cell_0663" 3 "beta"
"human3_lib4.final_cell_0664" 3 "alpha"
"human3_lib4.final_cell_0665" 3 "acinar"
"human3_lib4.final_cell_0666" 3 "alpha"
"human3_lib4.final_cell_0667" 3 "acinar"
"human3_lib4.final_cell_0668" 3 "alpha"
"human3_lib4.final_cell_0669" 3 "alpha"
"human3_lib4.final_cell_0670" 3 "ductal"
"human3_lib4.final_cell_0671" 3 "beta"
"human3_lib4.final_cell_0672" 3 "beta"
"human3_lib4.final_cell_0673" 3 "acinar"
"human3_lib4.final_cell_0674" 3 "alpha"
"human3_lib4.final_cell_0675" 3 "activated_stellate"
"human3_lib4.final_cell_0676" 3 "alpha"
"human3_lib4.final_cell_0677" 3 "alpha"
"human3_lib4.final_cell_0678" 3 "alpha"
"human3_lib4.final_cell_0679" 3 "beta"
"human3_lib4.final_cell_0680" 3 "beta"
"human3_lib4.final_cell_0681" 3 "gamma"
"human3_lib4.final_cell_0682" 3 "alpha"
"human3_lib4.final_cell_0683" 3 "beta"
"human3_lib4.final_cell_0684" 3 "activated_stellate"
"human3_lib4.final_cell_0685" 3 "acinar"
"human3_lib4.final_cell_0686" 3 "ductal"
"human3_lib4.final_cell_0687" 3 "alpha"
"human3_lib4.final_cell_0688" 3 "alpha"
"human3_lib4.final_cell_0689" 3 "beta"
"human3_lib4.final_cell_0690" 3 "ductal"
"human3_lib4.final_cell_0691" 3 "beta"
"human3_lib4.final_cell_0692" 3 "delta"
"human3_lib4.final_cell_0693" 3 "ductal"
"human3_lib4.final_cell_0694" 3 "acinar"
"human3_lib4.final_cell_0695" 3 "ductal"
"human3_lib4.final_cell_0696" 3 "acinar"
"human3_lib4.final_cell_0697" 3 "alpha"
"human3_lib4.final_cell_0698" 3 "ductal"
"human3_lib4.final_cell_0699" 3 "alpha"
"human3_lib4.final_cell_0700" 3 "beta"
"human3_lib4.final_cell_0701" 3 "beta"
"human3_lib4.final_cell_0702" 3 "alpha"
"human3_lib4.final_cell_0703" 3 "alpha"
"human3_lib4.final_cell_0704" 3 "alpha"
"human3_lib4.final_cell_0705" 3 "endothelial"
"human3_lib4.final_cell_0706" 3 "acinar"
"human3_lib4.final_cell_0707" 3 "ductal"
"human3_lib4.final_cell_0708" 3 "alpha"
"human3_lib4.final_cell_0709" 3 "beta"
"human3_lib4.final_cell_0710" 3 "ductal"
"human3_lib4.final_cell_0711" 3 "alpha"
"human3_lib4.final_cell_0712" 3 "alpha"
"human3_lib4.final_cell_0713" 3 "beta"
"human3_lib4.final_cell_0714" 3 "alpha"
"human3_lib4.final_cell_0715" 3 "ductal"
"human3_lib4.final_cell_0716" 3 "beta"
"human3_lib4.final_cell_0717" 3 "ductal"
"human3_lib4.final_cell_0718" 3 "ductal"
"human3_lib4.final_cell_0719" 3 "ductal"
"human3_lib4.final_cell_0720" 3 "alpha"
"human3_lib4.final_cell_0721" 3 "alpha"
"human3_lib4.final_cell_0722" 3 "alpha"
"human3_lib4.final_cell_0723" 3 "beta"
"human3_lib4.final_cell_0724" 3 "ductal"
"human3_lib4.final_cell_0725" 3 "alpha"
"human3_lib4.final_cell_0726" 3 "endothelial"
"human3_lib4.final_cell_0727" 3 "alpha"
"human3_lib4.final_cell_0728" 3 "quiescent_stellate"
"human3_lib4.final_cell_0729" 3 "beta"
"human3_lib4.final_cell_0730" 3 "delta"
"human3_lib4.final_cell_0731" 3 "alpha"
"human3_lib4.final_cell_0732" 3 "acinar"
"human3_lib4.final_cell_0733" 3 "alpha"
"human3_lib4.final_cell_0734" 3 "beta"
"human3_lib4.final_cell_0735" 3 "beta"
"human3_lib4.final_cell_0736" 3 "alpha"
"human3_lib4.final_cell_0737" 3 "quiescent_stellate"
"human3_lib4.final_cell_0738" 3 "alpha"
"human3_lib4.final_cell_0739" 3 "beta"
"human3_lib4.final_cell_0740" 3 "alpha"
"human3_lib4.final_cell_0741" 3 "quiescent_stellate"
"human3_lib4.final_cell_0742" 3 "acinar"
"human3_lib4.final_cell_0743" 3 "alpha"
"human3_lib4.final_cell_0744" 3 "alpha"
"human3_lib4.final_cell_0745" 3 "beta"
"human3_lib4.final_cell_0746" 3 "acinar"
"human3_lib4.final_cell_0747" 3 "delta"
"human3_lib4.final_cell_0748" 3 "acinar"
"human3_lib4.final_cell_0749" 3 "alpha"
"human3_lib4.final_cell_0750" 3 "alpha"
"human3_lib4.final_cell_0751" 3 "ductal"
"human3_lib4.final_cell_0752" 3 "gamma"
"human3_lib4.final_cell_0753" 3 "endothelial"
"human3_lib4.final_cell_0754" 3 "beta"
"human3_lib4.final_cell_0755" 3 "alpha"
"human3_lib4.final_cell_0756" 3 "alpha"
"human3_lib4.final_cell_0757" 3 "ductal"
"human3_lib4.final_cell_0758" 3 "alpha"
"human3_lib4.final_cell_0759" 3 "alpha"
"human3_lib4.final_cell_0760" 3 "alpha"
"human3_lib4.final_cell_0761" 3 "beta"
"human3_lib4.final_cell_0762" 3 "acinar"
"human3_lib4.final_cell_0763" 3 "alpha"
"human3_lib4.final_cell_0764" 3 "beta"
"human3_lib4.final_cell_0765" 3 "alpha"
"human3_lib4.final_cell_0766" 3 "alpha"
"human3_lib4.final_cell_0767" 3 "alpha"
"human3_lib4.final_cell_0768" 3 "ductal"
"human3_lib4.final_cell_0769" 3 "delta"
"human3_lib4.final_cell_0770" 3 "alpha"
"human3_lib4.final_cell_0771" 3 "alpha"
"human3_lib4.final_cell_0772" 3 "alpha"
"human3_lib4.final_cell_0773" 3 "acinar"
"human3_lib4.final_cell_0774" 3 "ductal"
"human3_lib4.final_cell_0775" 3 "ductal"
"human3_lib4.final_cell_0776" 3 "alpha"
"human3_lib4.final_cell_0777" 3 "alpha"
"human3_lib4.final_cell_0778" 3 "alpha"
"human3_lib4.final_cell_0779" 3 "acinar"
"human3_lib4.final_cell_0780" 3 "beta"
"human3_lib4.final_cell_0781" 3 "alpha"
"human3_lib4.final_cell_0782" 3 "gamma"
"human3_lib4.final_cell_0783" 3 "acinar"
"human3_lib4.final_cell_0784" 3 "alpha"
"human3_lib4.final_cell_0785" 3 "gamma"
"human3_lib4.final_cell_0786" 3 "gamma"
"human3_lib4.final_cell_0787" 3 "beta"
"human3_lib4.final_cell_0788" 3 "beta"
"human3_lib4.final_cell_0789" 3 "alpha"
"human3_lib4.final_cell_0790" 3 "beta"
"human3_lib4.final_cell_0791" 3 "beta"
"human3_lib4.final_cell_0792" 3 "acinar"
"human3_lib4.final_cell_0793" 3 "acinar"
"human3_lib4.final_cell_0794" 3 "acinar"
"human3_lib4.final_cell_0795" 3 "quiescent_stellate"
"human3_lib4.final_cell_0796" 3 "quiescent_stellate"
"human3_lib4.final_cell_0797" 3 "ductal"
"human3_lib4.final_cell_0798" 3 "beta"
"human3_lib4.final_cell_0799" 3 "alpha"
"human3_lib4.final_cell_0800" 3 "beta"
"human3_lib4.final_cell_0801" 3 "alpha"
"human3_lib4.final_cell_0802" 3 "ductal"
"human3_lib4.final_cell_0803" 3 "alpha"
"human3_lib4.final_cell_0804" 3 "alpha"
"human3_lib4.final_cell_0805" 3 "alpha"
"human3_lib4.final_cell_0806" 3 "alpha"
"human3_lib4.final_cell_0807" 3 "alpha"
"human3_lib4.final_cell_0808" 3 "beta"
"human3_lib4.final_cell_0809" 3 "beta"
"human3_lib4.final_cell_0810" 3 "beta"
"human3_lib4.final_cell_0811" 3 "acinar"
"human3_lib4.final_cell_0812" 3 "alpha"
"human3_lib4.final_cell_0813" 3 "beta"
"human3_lib4.final_cell_0814" 3 "beta"
"human3_lib4.final_cell_0815" 3 "beta"
"human3_lib4.final_cell_0816" 3 "beta"
"human3_lib4.final_cell_0817" 3 "gamma"
"human3_lib4.final_cell_0818" 3 "endothelial"
"human3_lib4.final_cell_0819" 3 "quiescent_stellate"
"human3_lib4.final_cell_0820" 3 "alpha"
"human3_lib4.final_cell_0821" 3 "alpha"
"human3_lib4.final_cell_0822" 3 "beta"
"human3_lib4.final_cell_0823" 3 "beta"
"human3_lib4.final_cell_0824" 3 "beta"
"human3_lib4.final_cell_0825" 3 "ductal"
"human3_lib4.final_cell_0826" 3 "ductal"
"human3_lib4.final_cell_0827" 3 "beta"
"human3_lib4.final_cell_0828" 3 "quiescent_stellate"
"human3_lib4.final_cell_0829" 3 "alpha"
"human3_lib4.final_cell_0830" 3 "alpha"
"human3_lib4.final_cell_0831" 3 "alpha"
"human3_lib4.final_cell_0832" 3 "activated_stellate"
"human3_lib4.final_cell_0833" 3 "acinar"
"human3_lib4.final_cell_0834" 3 "beta"
"human3_lib4.final_cell_0835" 3 "alpha"
"human3_lib4.final_cell_0836" 3 "alpha"
"human3_lib4.final_cell_0837" 3 "ductal"
"human3_lib4.final_cell_0838" 3 "alpha"
"human3_lib4.final_cell_0839" 3 "beta"
"human3_lib4.final_cell_0840" 3 "alpha"
"human3_lib4.final_cell_0841" 3 "beta"
"human3_lib4.final_cell_0842" 3 "endothelial"
"human3_lib4.final_cell_0843" 3 "ductal"
"human3_lib4.final_cell_0844" 3 "endothelial"
"human3_lib4.final_cell_0845" 3 "beta"
"human3_lib4.final_cell_0846" 3 "quiescent_stellate"
"human3_lib4.final_cell_0847" 3 "endothelial"
"human3_lib4.final_cell_0848" 3 "alpha"
"human3_lib4.final_cell_0849" 3 "alpha"
"human3_lib4.final_cell_0850" 3 "beta"
"human3_lib4.final_cell_0851" 3 "alpha"
"human3_lib4.final_cell_0852" 3 "activated_stellate"
"human3_lib4.final_cell_0853" 3 "quiescent_stellate"
"human3_lib4.final_cell_0854" 3 "alpha"
"human3_lib4.final_cell_0855" 3 "beta"
"human3_lib4.final_cell_0856" 3 "alpha"
"human3_lib4.final_cell_0857" 3 "alpha"
"human3_lib4.final_cell_0858" 3 "beta"
"human3_lib4.final_cell_0859" 3 "activated_stellate"
"human3_lib4.final_cell_0860" 3 "beta"
"human3_lib4.final_cell_0861" 3 "alpha"
"human3_lib4.final_cell_0862" 3 "beta"
"human3_lib4.final_cell_0863" 3 "delta"
"human3_lib4.final_cell_0864" 3 "quiescent_stellate"
"human3_lib4.final_cell_0865" 3 "alpha"
"human3_lib4.final_cell_0866" 3 "beta"
"human3_lib4.final_cell_0867" 3 "beta"
"human3_lib4.final_cell_0868" 3 "alpha"
"human3_lib4.final_cell_0869" 3 "beta"
"human3_lib4.final_cell_0870" 3 "alpha"
"human3_lib4.final_cell_0871" 3 "beta"
"human3_lib4.final_cell_0872" 3 "delta"
"human3_lib4.final_cell_0873" 3 "ductal"
"human3_lib4.final_cell_0874" 3 "alpha"
"human3_lib4.final_cell_0875" 3 "beta"
"human3_lib4.final_cell_0876" 3 "endothelial"
"human3_lib4.final_cell_0877" 3 "beta"
"human3_lib4.final_cell_0878" 3 "beta"
"human3_lib4.final_cell_0879" 3 "alpha"
"human3_lib4.final_cell_0880" 3 "alpha"
"human3_lib4.final_cell_0881" 3 "alpha"
"human3_lib4.final_cell_0882" 3 "alpha"
"human3_lib4.final_cell_0883" 3 "schwann"
"human3_lib4.final_cell_0884" 3 "alpha"
"human3_lib4.final_cell_0885" 3 "beta"
"human3_lib4.final_cell_0886" 3 "macrophage"
"human3_lib4.final_cell_0887" 3 "endothelial"
"human3_lib4.final_cell_0888" 3 "ductal"
"human3_lib4.final_cell_0889" 3 "beta"
"human3_lib4.final_cell_0890" 3 "alpha"
"human3_lib4.final_cell_0891" 3 "alpha"
"human3_lib4.final_cell_0892" 3 "quiescent_stellate"
"human3_lib4.final_cell_0893" 3 "acinar"
"human3_lib4.final_cell_0894" 3 "ductal"
"human3_lib4.final_cell_0895" 3 "alpha"
"human3_lib4.final_cell_0896" 3 "beta"
"human3_lib4.final_cell_0897" 3 "alpha"
"human3_lib4.final_cell_0898" 3 "beta"
"human3_lib4.final_cell_0899" 3 "alpha"
"human4_lib1.final_cell_0001" 4 "ductal"
"human4_lib1.final_cell_0002" 4 "delta"
"human4_lib1.final_cell_0003" 4 "delta"
"human4_lib1.final_cell_0004" 4 "ductal"
"human4_lib1.final_cell_0005" 4 "ductal"
"human4_lib1.final_cell_0006" 4 "ductal"
"human4_lib1.final_cell_0007" 4 "ductal"
"human4_lib1.final_cell_0008" 4 "alpha"
"human4_lib1.final_cell_0009" 4 "ductal"
"human4_lib1.final_cell_0010" 4 "ductal"
"human4_lib1.final_cell_0011" 4 "alpha"
"human4_lib1.final_cell_0012" 4 "ductal"
"human4_lib1.final_cell_0013" 4 "ductal"
"human4_lib1.final_cell_0014" 4 "ductal"
"human4_lib1.final_cell_0015" 4 "delta"
"human4_lib1.final_cell_0016" 4 "activated_stellate"
"human4_lib1.final_cell_0017" 4 "beta"
"human4_lib1.final_cell_0018" 4 "ductal"
"human4_lib1.final_cell_0019" 4 "ductal"
"human4_lib1.final_cell_0020" 4 "beta"
"human4_lib1.final_cell_0021" 4 "beta"
"human4_lib1.final_cell_0022" 4 "delta"
"human4_lib1.final_cell_0023" 4 "ductal"
"human4_lib1.final_cell_0024" 4 "delta"
"human4_lib1.final_cell_0025" 4 "alpha"
"human4_lib1.final_cell_0026" 4 "beta"
"human4_lib1.final_cell_0027" 4 "beta"
"human4_lib1.final_cell_0028" 4 "delta"
"human4_lib1.final_cell_0029" 4 "ductal"
"human4_lib1.final_cell_0030" 4 "activated_stellate"
"human4_lib1.final_cell_0031" 4 "ductal"
"human4_lib1.final_cell_0032" 4 "ductal"
"human4_lib1.final_cell_0033" 4 "ductal"
"human4_lib1.final_cell_0034" 4 "beta"
"human4_lib1.final_cell_0035" 4 "macrophage"
"human4_lib1.final_cell_0036" 4 "alpha"
"human4_lib1.final_cell_0037" 4 "beta"
"human4_lib1.final_cell_0038" 4 "beta"
"human4_lib1.final_cell_0039" 4 "alpha"
"human4_lib1.final_cell_0040" 4 "ductal"
"human4_lib1.final_cell_0041" 4 "beta"
"human4_lib1.final_cell_0042" 4 "beta"
"human4_lib1.final_cell_0043" 4 "alpha"
"human4_lib1.final_cell_0044" 4 "ductal"
"human4_lib1.final_cell_0045" 4 "ductal"
"human4_lib1.final_cell_0046" 4 "beta"
"human4_lib1.final_cell_0047" 4 "beta"
"human4_lib1.final_cell_0048" 4 "alpha"
"human4_lib1.final_cell_0049" 4 "beta"
"human4_lib1.final_cell_0050" 4 "alpha"
"human4_lib1.final_cell_0051" 4 "beta"
"human4_lib1.final_cell_0052" 4 "ductal"
"human4_lib1.final_cell_0053" 4 "beta"
"human4_lib1.final_cell_0054" 4 "ductal"
"human4_lib1.final_cell_0055" 4 "alpha"
"human4_lib1.final_cell_0056" 4 "beta"
"human4_lib1.final_cell_0057" 4 "delta"
"human4_lib1.final_cell_0058" 4 "beta"
"human4_lib1.final_cell_0059" 4 "beta"
"human4_lib1.final_cell_0060" 4 "ductal"
"human4_lib1.final_cell_0061" 4 "beta"
"human4_lib1.final_cell_0062" 4 "ductal"
"human4_lib1.final_cell_0063" 4 "beta"
"human4_lib1.final_cell_0064" 4 "ductal"
"human4_lib1.final_cell_0065" 4 "ductal"
"human4_lib1.final_cell_0066" 4 "activated_stellate"
"human4_lib1.final_cell_0067" 4 "alpha"
"human4_lib1.final_cell_0068" 4 "alpha"
"human4_lib1.final_cell_0069" 4 "delta"
"human4_lib1.final_cell_0070" 4 "activated_stellate"
"human4_lib1.final_cell_0071" 4 "activated_stellate"
"human4_lib1.final_cell_0072" 4 "beta"
"human4_lib1.final_cell_0073" 4 "activated_stellate"
"human4_lib1.final_cell_0074" 4 "alpha"
"human4_lib1.final_cell_0075" 4 "beta"
"human4_lib1.final_cell_0076" 4 "ductal"
"human4_lib1.final_cell_0077" 4 "quiescent_stellate"
"human4_lib1.final_cell_0078" 4 "beta"
"human4_lib1.final_cell_0079" 4 "ductal"
"human4_lib1.final_cell_0080" 4 "beta"
"human4_lib1.final_cell_0081" 4 "beta"
"human4_lib1.final_cell_0082" 4 "activated_stellate"
"human4_lib1.final_cell_0083" 4 "delta"
"human4_lib1.final_cell_0084" 4 "beta"
"human4_lib1.final_cell_0085" 4 "beta"
"human4_lib1.final_cell_0086" 4 "beta"
"human4_lib1.final_cell_0087" 4 "beta"
"human4_lib1.final_cell_0088" 4 "delta"
"human4_lib1.final_cell_0089" 4 "beta"
"human4_lib1.final_cell_0090" 4 "delta"
"human4_lib1.final_cell_0091" 4 "alpha"
"human4_lib1.final_cell_0092" 4 "ductal"
"human4_lib1.final_cell_0093" 4 "alpha"
"human4_lib1.final_cell_0094" 4 "alpha"
"human4_lib1.final_cell_0095" 4 "alpha"
"human4_lib1.final_cell_0096" 4 "macrophage"
"human4_lib1.final_cell_0097" 4 "delta"
"human4_lib1.final_cell_0098" 4 "ductal"
"human4_lib1.final_cell_0099" 4 "ductal"
"human4_lib1.final_cell_0100" 4 "beta"
"human4_lib1.final_cell_0101" 4 "ductal"
"human4_lib1.final_cell_0102" 4 "beta"
"human4_lib1.final_cell_0103" 4 "beta"
"human4_lib1.final_cell_0104" 4 "alpha"
"human4_lib1.final_cell_0105" 4 "beta"
"human4_lib1.final_cell_0106" 4 "delta"
"human4_lib1.final_cell_0107" 4 "alpha"
"human4_lib1.final_cell_0108" 4 "alpha"
"human4_lib1.final_cell_0109" 4 "delta"
"human4_lib1.final_cell_0110" 4 "beta"
"human4_lib1.final_cell_0111" 4 "ductal"
"human4_lib1.final_cell_0112" 4 "beta"
"human4_lib1.final_cell_0113" 4 "beta"
"human4_lib1.final_cell_0114" 4 "delta"
"human4_lib1.final_cell_0115" 4 "acinar"
"human4_lib1.final_cell_0116" 4 "ductal"
"human4_lib1.final_cell_0117" 4 "alpha"
"human4_lib1.final_cell_0118" 4 "ductal"
"human4_lib1.final_cell_0119" 4 "ductal"
"human4_lib1.final_cell_0120" 4 "beta"
"human4_lib1.final_cell_0121" 4 "beta"
"human4_lib1.final_cell_0122" 4 "gamma"
"human4_lib1.final_cell_0123" 4 "alpha"
"human4_lib1.final_cell_0124" 4 "beta"
"human4_lib1.final_cell_0125" 4 "beta"
"human4_lib1.final_cell_0126" 4 "beta"
"human4_lib1.final_cell_0127" 4 "ductal"
"human4_lib1.final_cell_0128" 4 "activated_stellate"
"human4_lib1.final_cell_0129" 4 "delta"
"human4_lib1.final_cell_0130" 4 "beta"
"human4_lib1.final_cell_0131" 4 "ductal"
"human4_lib1.final_cell_0132" 4 "beta"
"human4_lib1.final_cell_0133" 4 "ductal"
"human4_lib1.final_cell_0134" 4 "ductal"
"human4_lib1.final_cell_0135" 4 "beta"
"human4_lib1.final_cell_0136" 4 "alpha"
"human4_lib1.final_cell_0137" 4 "ductal"
"human4_lib1.final_cell_0138" 4 "delta"
"human4_lib1.final_cell_0139" 4 "beta"
"human4_lib1.final_cell_0140" 4 "delta"
"human4_lib1.final_cell_0141" 4 "delta"
"human4_lib1.final_cell_0142" 4 "alpha"
"human4_lib1.final_cell_0143" 4 "alpha"
"human4_lib1.final_cell_0144" 4 "ductal"
"human4_lib1.final_cell_0145" 4 "macrophage"
"human4_lib1.final_cell_0146" 4 "alpha"
"human4_lib1.final_cell_0147" 4 "ductal"
"human4_lib1.final_cell_0148" 4 "ductal"
"human4_lib1.final_cell_0149" 4 "ductal"
"human4_lib1.final_cell_0150" 4 "beta"
"human4_lib1.final_cell_0151" 4 "beta"
"human4_lib1.final_cell_0152" 4 "alpha"
"human4_lib1.final_cell_0153" 4 "beta"
"human4_lib1.final_cell_0154" 4 "alpha"
"human4_lib1.final_cell_0155" 4 "beta"
"human4_lib1.final_cell_0156" 4 "beta"
"human4_lib1.final_cell_0157" 4 "ductal"
"human4_lib1.final_cell_0158" 4 "ductal"
"human4_lib1.final_cell_0159" 4 "beta"
"human4_lib1.final_cell_0160" 4 "beta"
"human4_lib1.final_cell_0161" 4 "alpha"
"human4_lib1.final_cell_0162" 4 "alpha"
"human4_lib1.final_cell_0163" 4 "beta"
"human4_lib1.final_cell_0164" 4 "beta"
"human4_lib1.final_cell_0165" 4 "alpha"
"human4_lib1.final_cell_0166" 4 "beta"
"human4_lib1.final_cell_0167" 4 "beta"
"human4_lib1.final_cell_0168" 4 "alpha"
"human4_lib1.final_cell_0169" 4 "delta"
"human4_lib1.final_cell_0170" 4 "beta"
"human4_lib1.final_cell_0171" 4 "alpha"
"human4_lib1.final_cell_0172" 4 "beta"
"human4_lib1.final_cell_0173" 4 "beta"
"human4_lib1.final_cell_0174" 4 "beta"
"human4_lib1.final_cell_0175" 4 "beta"
"human4_lib1.final_cell_0176" 4 "delta"
"human4_lib1.final_cell_0177" 4 "beta"
"human4_lib1.final_cell_0178" 4 "ductal"
"human4_lib1.final_cell_0179" 4 "gamma"
"human4_lib1.final_cell_0180" 4 "delta"
"human4_lib1.final_cell_0181" 4 "ductal"
"human4_lib1.final_cell_0182" 4 "alpha"
"human4_lib1.final_cell_0183" 4 "ductal"
"human4_lib1.final_cell_0184" 4 "alpha"
"human4_lib1.final_cell_0185" 4 "alpha"
"human4_lib1.final_cell_0186" 4 "delta"
"human4_lib1.final_cell_0187" 4 "alpha"
"human4_lib1.final_cell_0188" 4 "beta"
"human4_lib1.final_cell_0189" 4 "delta"
"human4_lib1.final_cell_0190" 4 "alpha"
"human4_lib1.final_cell_0191" 4 "alpha"
"human4_lib1.final_cell_0192" 4 "delta"
"human4_lib1.final_cell_0193" 4 "beta"
"human4_lib1.final_cell_0194" 4 "beta"
"human4_lib1.final_cell_0195" 4 "alpha"
"human4_lib1.final_cell_0196" 4 "gamma"
"human4_lib1.final_cell_0197" 4 "beta"
"human4_lib1.final_cell_0198" 4 "beta"
"human4_lib1.final_cell_0199" 4 "gamma"
"human4_lib1.final_cell_0200" 4 "delta"
"human4_lib1.final_cell_0201" 4 "ductal"
"human4_lib1.final_cell_0202" 4 "beta"
"human4_lib1.final_cell_0203" 4 "alpha"
"human4_lib1.final_cell_0204" 4 "delta"
"human4_lib1.final_cell_0205" 4 "beta"
"human4_lib1.final_cell_0206" 4 "beta"
"human4_lib1.final_cell_0207" 4 "alpha"
"human4_lib1.final_cell_0208" 4 "ductal"
"human4_lib1.final_cell_0209" 4 "ductal"
"human4_lib1.final_cell_0210" 4 "beta"
"human4_lib1.final_cell_0211" 4 "alpha"
"human4_lib1.final_cell_0212" 4 "ductal"
"human4_lib1.final_cell_0213" 4 "activated_stellate"
"human4_lib1.final_cell_0214" 4 "alpha"
"human4_lib1.final_cell_0215" 4 "beta"
"human4_lib1.final_cell_0216" 4 "alpha"
"human4_lib1.final_cell_0217" 4 "ductal"
"human4_lib1.final_cell_0218" 4 "beta"
"human4_lib1.final_cell_0219" 4 "beta"
"human4_lib1.final_cell_0220" 4 "ductal"
"human4_lib1.final_cell_0221" 4 "beta"
"human4_lib1.final_cell_0222" 4 "beta"
"human4_lib1.final_cell_0223" 4 "ductal"
"human4_lib1.final_cell_0224" 4 "beta"
"human4_lib1.final_cell_0225" 4 "beta"
"human4_lib1.final_cell_0226" 4 "beta"
"human4_lib1.final_cell_0227" 4 "beta"
"human4_lib1.final_cell_0228" 4 "alpha"
"human4_lib1.final_cell_0229" 4 "delta"
"human4_lib1.final_cell_0230" 4 "alpha"
"human4_lib1.final_cell_0231" 4 "macrophage"
"human4_lib1.final_cell_0232" 4 "alpha"
"human4_lib1.final_cell_0233" 4 "alpha"
"human4_lib1.final_cell_0234" 4 "beta"
"human4_lib1.final_cell_0235" 4 "activated_stellate"
"human4_lib1.final_cell_0236" 4 "beta"
"human4_lib1.final_cell_0237" 4 "beta"
"human4_lib1.final_cell_0238" 4 "ductal"
"human4_lib1.final_cell_0239" 4 "ductal"
"human4_lib1.final_cell_0240" 4 "gamma"
"human4_lib1.final_cell_0241" 4 "beta"
"human4_lib1.final_cell_0242" 4 "ductal"
"human4_lib1.final_cell_0243" 4 "beta"
"human4_lib1.final_cell_0244" 4 "beta"
"human4_lib1.final_cell_0245" 4 "beta"
"human4_lib1.final_cell_0246" 4 "beta"
"human4_lib1.final_cell_0247" 4 "beta"
"human4_lib1.final_cell_0248" 4 "alpha"
"human4_lib1.final_cell_0249" 4 "delta"
"human4_lib1.final_cell_0250" 4 "alpha"
"human4_lib1.final_cell_0251" 4 "ductal"
"human4_lib1.final_cell_0252" 4 "ductal"
"human4_lib1.final_cell_0253" 4 "beta"
"human4_lib1.final_cell_0254" 4 "alpha"
"human4_lib1.final_cell_0255" 4 "alpha"
"human4_lib1.final_cell_0256" 4 "ductal"
"human4_lib1.final_cell_0257" 4 "ductal"
"human4_lib1.final_cell_0258" 4 "alpha"
"human4_lib1.final_cell_0259" 4 "alpha"
"human4_lib1.final_cell_0260" 4 "ductal"
"human4_lib1.final_cell_0261" 4 "beta"
"human4_lib1.final_cell_0262" 4 "beta"
"human4_lib1.final_cell_0263" 4 "alpha"
"human4_lib1.final_cell_0264" 4 "ductal"
"human4_lib1.final_cell_0265" 4 "gamma"
"human4_lib1.final_cell_0266" 4 "beta"
"human4_lib1.final_cell_0267" 4 "delta"
"human4_lib1.final_cell_0268" 4 "gamma"
"human4_lib1.final_cell_0269" 4 "beta"
"human4_lib1.final_cell_0270" 4 "ductal"
"human4_lib1.final_cell_0271" 4 "ductal"
"human4_lib1.final_cell_0272" 4 "beta"
"human4_lib1.final_cell_0273" 4 "ductal"
"human4_lib1.final_cell_0274" 4 "beta"
"human4_lib1.final_cell_0275" 4 "alpha"
"human4_lib1.final_cell_0276" 4 "beta"
"human4_lib1.final_cell_0277" 4 "beta"
"human4_lib1.final_cell_0278" 4 "beta"
"human4_lib1.final_cell_0279" 4 "alpha"
"human4_lib1.final_cell_0280" 4 "beta"
"human4_lib1.final_cell_0281" 4 "alpha"
"human4_lib1.final_cell_0282" 4 "beta"
"human4_lib1.final_cell_0283" 4 "beta"
"human4_lib1.final_cell_0284" 4 "alpha"
"human4_lib1.final_cell_0285" 4 "ductal"
"human4_lib1.final_cell_0286" 4 "alpha"
"human4_lib1.final_cell_0287" 4 "ductal"
"human4_lib1.final_cell_0288" 4 "beta"
"human4_lib1.final_cell_0289" 4 "alpha"
"human4_lib1.final_cell_0290" 4 "beta"
"human4_lib1.final_cell_0291" 4 "beta"
"human4_lib1.final_cell_0292" 4 "beta"
"human4_lib1.final_cell_0293" 4 "beta"
"human4_lib1.final_cell_0294" 4 "alpha"
"human4_lib1.final_cell_0295" 4 "macrophage"
"human4_lib1.final_cell_0296" 4 "alpha"
"human4_lib1.final_cell_0297" 4 "delta"
"human4_lib1.final_cell_0298" 4 "gamma"
"human4_lib1.final_cell_0299" 4 "beta"
"human4_lib1.final_cell_0300" 4 "beta"
"human4_lib1.final_cell_0301" 4 "delta"
"human4_lib1.final_cell_0302" 4 "ductal"
"human4_lib1.final_cell_0303" 4 "ductal"
"human4_lib1.final_cell_0304" 4 "beta"
"human4_lib1.final_cell_0305" 4 "beta"
"human4_lib1.final_cell_0306" 4 "alpha"
"human4_lib1.final_cell_0307" 4 "beta"
"human4_lib1.final_cell_0308" 4 "alpha"
"human4_lib1.final_cell_0309" 4 "activated_stellate"
"human4_lib1.final_cell_0310" 4 "alpha"
"human4_lib1.final_cell_0311" 4 "gamma"
"human4_lib1.final_cell_0312" 4 "delta"
"human4_lib1.final_cell_0313" 4 "beta"
"human4_lib1.final_cell_0314" 4 "alpha"
"human4_lib1.final_cell_0315" 4 "alpha"
"human4_lib1.final_cell_0316" 4 "beta"
"human4_lib1.final_cell_0317" 4 "delta"
"human4_lib1.final_cell_0318" 4 "delta"
"human4_lib1.final_cell_0319" 4 "delta"
"human4_lib1.final_cell_0320" 4 "alpha"
